Time,29,30,208,209,210,211,212,213,214,215,264,265,266,267,268,269,270,271,608,609,610,611,612,613,686,687,688,689,690,691,692,693,742,743,744,745,746,747,748,749,798,799,800,801,802,803,804,805,854,855,856,857,858,859,860,861,978,979,980,981,982,983,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1114,1115,1116,1117,1142,1143,1144,1145,1426,1427,1428,1429,1430,1431,1432,1433,1482,1483,1484,1485,1486,1487,1488,1489,1514,1515,1516,1517,1566,1567,1568,1569,1570,1571,1572,1573,1580,1887,1888,1889,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1965,1990,1991,1992,1993,2042,2043,2044,2045,2046,2047,2048,2049,2098,2099,2100,2101,2102,2103,2104,2105,2136,2137,2138,2139,2140,2235,2236,2237,2250,2251,2306,2307,2308,2309,2310,2311
0,-24,-68,83,43,-14,9,-24,-4,63,9,53,43,-14,9,-9,0,87,83,24,4,9,29,-14,43,53,4,29,29,9,-4,102,34,63,24,19,29,48,34,141,43,19,14,-19,19,-4,24,122,63,0,4,-14,24,-53,-29,-24,24,-48,53,14,19,-14,-9,-53,58,34,53,-4,48,107,68,-19,-4,14,24,34,24,58,24,14,78,34,34,34,39,9,4,102,73,43,63,29,43,-4,24,112,68,19,34,29,39,78,34,4,73,-19,-24,68,19,63,-63,19,4,-68,53,24,0,-53,34,107,63,-34,-24,-19,-24,-48,24,29,43,39,29,-29,63,9,-4,9,102,63,53,-19,73,43,48,-29,97,29,83,58,87,-24,39,39,58,-4,-34,-19,-24,-4,9,-29,-58
10,-24,-63,78,43,-14,9,-24,-4,68,9,53,39,-14,9,-9,0,83,78,24,4,9,29,-14,43,53,4,29,29,9,-4,107,39,63,19,24,29,48,34,141,48,19,9,-24,24,-9,24,122,58,0,4,-14,24,-48,-29,-29,24,-43,53,9,19,-19,-9,-58,58,34,53,-4,48,107,63,-19,-9,19,24,39,24,58,19,14,78,34,39,29,34,9,4,107,78,39,63,29,43,-4,29,117,63,19,39,29,39,78,39,4,73,-24,-29,63,24,68,-63,19,0,-68,53,24,-4,-58,34,107,68,-39,-29,-24,-29,-48,24,29,39,39,29,-34,63,9,0,14,107,63,53,-19,73,43,48,-29,92,24,83,58,83,-29,43,43,58,-4,-34,-24,-24,-4,9,-29,-58
20,-24,-63,78,43,-9,9,-29,-4,63,9,53,39,-14,9,-4,0,83,78,19,4,9,29,-14,43,58,4,29,34,9,-4,102,39,63,19,19,29,48,39,141,43,24,9,-24,19,-9,24,126,63,0,4,-14,24,-48,-29,-24,24,-48,53,14,19,-19,-9,-58,58,34,58,-4,43,107,68,-19,-9,19,24,34,24,58,19,14,78,34,39,29,39,9,0,102,78,39,63,34,43,0,29,117,68,14,39,29,39,78,39,4,73,-24,-24,63,24,63,-63,19,4,-68,53,24,-4,-53,34,107,68,-39,-24,-24,-24,-48,24,34,43,39,29,-34,63,14,-4,14,102,68,53,-19,73,43,48,-29,97,24,87,58,87,-24,43,43,58,-4,-34,-19,-24,-4,9,-24,-58
30,-24,-68,78,39,-14,9,-24,-4,68,9,48,39,-9,9,-4,0,87,78,24,4,9,29,-14,43,58,4,29,34,9,-4,107,39,63,24,24,29,48,34,141,43,24,14,-19,19,-4,24,122,63,0,4,-14,24,-48,-29,-29,24,-43,53,14,19,-19,-9,-58,58,34,53,-4,43,107,68,-19,-9,14,24,34,24,58,24,14,78,34,39,34,39,9,4,102,78,39,63,29,39,0,24,117,68,19,34,29,39,78,39,4,73,-19,-24,63,19,63,-68,19,4,-68,53,24,-4,-58,34,112,68,-34,-29,-24,-29,-48,29,29,43,39,29,-29,63,14,-4,14,107,63,53,-19,73,43,48,-29,97,29,87,53,83,-24,39,43,58,-4,-34,-24,-24,-4,9,-29,-58
40,-24,-63,78,43,-14,9,-24,0,68,9,53,43,-9,9,-4,0,87,83,24,4,9,29,-14,43,53,4,29,34,9,0,102,39,63,24,24,29,48,34,141,43,19,14,-19,19,-9,24,122,63,0,9,-14,29,-48,-29,-24,29,-43,53,14,19,-19,-9,-58,58,34,53,-4,48,107,68,-19,-9,14,24,39,24,63,24,14,78,34,39,34,39,9,4,102,78,39,63,29,43,0,24,117,68,19,34,29,39,78,39,4,73,-24,-29,68,24,63,-68,19,4,-68,53,24,-4,-53,34,107,68,-39,-29,-24,-24,-48,24,34,43,39,29,-34,63,14,0,14,107,63,53,-24,68,43,48,-29,97,29,87,58,83,-29,43,39,58,-4,-34,-19,-24,-4,9,-24,-58
50,-24,-63,78,43,-14,9,-24,0,63,9,53,39,-9,9,-4,0,83,83,24,4,9,29,-14,39,53,4,29,24,9,-4,102,39,63,19,19,29,48,34,141,43,19,14,-24,19,-9,19,122,63,0,4,-14,24,-48,-24,-24,24,-48,48,9,14,-24,-14,-58,58,34,53,-4,48,107,68,-24,-14,14,24,34,24,58,19,14,73,34,34,29,39,9,0,102,73,39,63,29,39,0,24,117,68,14,39,24,34,73,34,0,73,-24,-24,68,24,63,-68,19,0,-68,53,24,-4,-58,39,107,68,-39,-34,-29,-29,-53,24,29,43,43,29,-39,63,14,0,9,107,63,53,-24,68,39,43,-34,97,24,83,53,83,-29,43,43,58,-9,-34,-24,-24,-4,9,-24,-58
60,-29,-68,83,43,-14,9,-29,-4,68,9,53,39,-9,9,-9,0,83,83,24,0,4,29,-19,43,53,4,29,29,9,-4,107,39,63,19,24,29,48,34,141,43,19,14,-19,19,-9,24,126,63,0,4,-19,29,-48,-34,-24,24,-48,53,14,19,-24,-19,-58,58,34,53,-4,43,107,68,-29,-14,14,24,34,24,58,24,9,78,34,39,29,34,9,0,102,73,39,58,29,39,-4,24,112,68,14,39,24,34,73,34,4,73,-19,-24,68,24,58,-68,14,0,-68,53,24,-4,-53,29,112,68,-39,-34,-29,-29,-53,24,29,43,39,29,-34,63,14,-4,14,102,63,53,-24,68,43,43,-29,92,24,87,58,83,-24,39,43,58,-9,-34,-24,-29,-4,9,-24,-58
70,-29,-68,78,43,-14,9,-29,-4,68,9,53,43,-9,9,-9,0,83,83,19,0,9,29,-14,43,53,4,29,24,9,-4,107,39,63,19,19,29,48,34,141,43,19,14,-24,19,-9,19,126,63,0,4,-19,24,-53,-29,-24,24,-48,48,9,19,-24,-19,-63,58,34,58,-4,43,107,63,-29,-19,14,24,34,19,53,19,14,78,34,39,29,34,9,0,102,73,39,63,29,39,-4,24,117,68,14,34,29,34,73,39,4,73,-19,-24,63,24,63,-68,19,0,-68,53,24,-4,-58,34,107,68,-39,-39,-29,-29,-53,24,29,39,39,29,-34,58,14,-4,14,107,58,53,-24,68,39,48,-29,97,24,87,58,83,-29,39,43,58,-9,-34,-24,-24,-4,9,-24,-63
80,-29,-73,73,39,-14,9,-29,-19,63,4,48,39,-14,4,-4,-24,83,73,19,0,4,29,-19,19,48,4,29,24,9,-29,102,29,58,19,19,24,48,9,136,34,19,9,-24,19,-9,0,122,53,-4,0,-19,24,-53,-48,-29,14,-48,48,9,14,-29,-24,-58,53,34,53,-4,24,102,58,-29,-24,14,19,34,19,53,24,9,78,34,34,29,34,9,-24,97,68,39,58,29,39,-4,4,112,63,14,34,24,34,73,39,4,73,-24,-43,63,14,58,-68,14,0,-68,48,24,-4,-58,14,102,63,-43,-34,-34,-29,-58,24,29,43,39,29,-39,58,14,-14,9,97,58,48,-24,68,34,24,-34,87,19,83,53,78,-29,39,34,58,-9,-39,-24,-34,-4,4,-29,-87
