Time,280,281,282,283,284,285,286,287,320,321,322,323,324,325,326,327,360,361,362,363,364,365,366,367,400,401,402,403,404,405,406,407,440,441,442,443,444,445,446,447,474,475,882,883,884,885,886,887,888,889,922,923,924,925,926,927,928,929,1154,1155,1156,1157,1158,1159,1160,1161,1194,1195,1196,1197,1198,1199,1200,1201,1234,1235,1236,1237,1238,1239,1240,1241,1271,1272,1273,1274,1275,1589,1590,1591,1592,1593,1594,1595,1596,1629,1630,1631,1632,1633,1634,1635,1636,1669,1670,1671,1672,1673,1674,1675,1676,1709,1710,1711,1712,1713,1714,1715,1716,1745,1746,1747,1748,1833,1834,1835,2149,2150,2151,2152,2153,2154,2155,2156,2185,2186,2187,2188,2189,2190,2191,2313,2316,2319,2322,2325
0,0,0,4,4,0,4,9,4,0,4,4,0,0,0,-4,4,0,4,0,4,0,0,4,0,4,0,9,4,0,4,4,4,0,4,-4,4,0,0,0,0,0,4,4,0,0,0,4,0,0,4,4,0,4,4,4,0,0,4,4,0,4,0,0,0,0,4,0,-4,4,9,4,0,0,0,4,0,9,0,0,0,0,4,0,4,0,0,4,4,0,4,0,4,0,4,9,4,4,-4,4,0,0,4,4,4,-4,-9,0,4,0,9,4,0,4,0,4,4,0,4,9,0,0,4,0,0,4,9,0,0,-4,0,9,0,0,4,4,0,0,4,0,0,4,4,0,4,4,0
10,0,9,-4,0,4,4,-4,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,4,0,0,9,4,0,4,4,4,4,4,4,4,-4,0,4,4,4,0,4,4,0,0,4,0,4,-4,4,0,9,4,0,0,4,4,0,4,0,0,4,9,4,0,4,4,0,0,0,4,0,0,0,4,0,4,-4,0,0,0,4,4,0,4,0,0,4,0,-4,4,-4,0,-4,4,9,4,4,0,0,-4,0,9,0,0,4,0,0,0,4,0,0,4,4,0,4,0,4,4,4,0,4,4,0,4,0,0,0,0,4,4,4,0
20,0,0,0,4,0,9,0,4,0,0,0,4,0,0,9,4,0,0,9,4,0,4,4,4,4,9,-4,4,0,4,0,0,0,-4,9,0,4,4,4,4,0,9,4,4,0,4,4,0,0,0,4,4,4,4,4,4,0,-4,4,4,0,0,0,4,4,0,-4,4,0,4,0,4,0,0,4,4,0,0,0,4,0,0,4,4,0,0,-4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,4,4,0,4,4,0,0,0,0,0,4,0,4,9,0,0,4,4,9,0,0,0,4,4,14,0,0,4,0,4,0,9,4,0,0,0,0,0,4,0,4,0
30,0,-4,4,4,4,4,9,4,-4,9,4,4,0,4,0,4,0,0,4,4,4,4,4,0,4,9,0,4,0,4,4,0,0,0,4,9,4,0,-4,4,0,9,4,0,-4,4,4,-4,0,0,4,-4,9,4,4,0,4,4,4,4,0,0,0,4,0,0,0,4,-4,4,0,4,4,-4,4,0,4,0,0,4,0,9,4,4,4,0,0,4,0,0,0,4,0,4,4,4,0,-4,0,0,0,4,4,4,4,0,4,0,0,4,-4,0,9,4,4,0,4,9,4,0,0,0,4,0,0,4,0,4,4,0,4,4,0,4,0,4,4,4,4,4,0,4,0,4,4,0
40,0,0,4,0,0,4,4,4,0,4,4,0,4,0,-4,0,0,4,0,0,4,0,0,-4,4,0,9,4,0,0,4,4,0,9,0,9,4,-4,4,4,0,4,4,0,4,0,4,0,0,4,4,0,4,0,4,0,0,4,4,0,4,-4,0,0,4,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,4,4,4,0,4,4,0,4,0,4,0,4,9,4,4,0,4,0,0,9,4,4,-4,-4,0,4,0,4,4,0,4,0,0,4,0,4,9,0,4,0,4,0,4,9,0,0,-4,0,4,4,0,4,4,0,4,9,0,0,4,0,4,4,4,0
50,0,9,0,4,0,4,0,4,0,4,0,0,0,0,0,4,4,0,4,4,4,0,4,4,4,0,9,0,-4,4,4,0,0,4,4,0,0,0,9,4,0,4,4,4,9,4,4,4,-4,0,4,4,4,0,4,4,0,0,4,-4,4,-4,0,0,9,0,0,-4,0,4,0,4,0,0,4,9,4,0,4,4,0,0,4,0,4,0,0,4,0,4,0,0,4,4,4,4,0,4,4,0,4,4,-4,4,-4,0,0,4,4,0,4,0,0,-4,0,9,4,0,4,0,0,4,4,0,0,0,0,0,4,0,4,4,0,0,4,4,0,0,0,0,0,0,4,4,4,0
60,0,4,0,4,0,9,4,4,0,4,0,4,0,0,4,4,4,-4,4,0,4,4,0,0,9,4,0,4,0,4,0,0,0,-4,4,4,4,4,0,4,0,4,4,4,0,4,4,4,-4,0,4,4,0,4,4,4,0,0,4,0,0,0,0,4,4,0,0,4,0,4,0,4,4,0,4,4,0,4,0,4,0,4,0,4,0,0,0,4,0,0,0,4,9,0,0,4,-4,0,0,0,4,0,-4,4,4,4,0,4,9,0,0,0,0,0,4,0,9,4,0,4,0,0,9,0,0,0,4,4,9,4,4,4,0,4,4,9,4,4,4,0,0,0,4,4,4,0
70,24,9,19,4,24,29,19,4,24,19,24,4,24,29,9,4,29,14,24,9,24,29,14,4,34,29,24,4,24,29,14,4,34,14,24,9,29,29,14,24,24,19,29,14,14,4,24,24,19,19,24,9,29,9,24,29,14,19,24,14,19,9,19,29,9,4,24,14,19,9,24,29,14,0,29,9,24,4,19,29,19,24,24,19,24,4,24,24,14,19,4,24,24,19,4,34,9,14,4,24,29,19,14,29,19,24,9,24,24,14,9,24,19,24,9,14,29,19,19,24,14,24,9,24,14,29,24,19,29,4,29,29,14,4,29,14,29,14,24,29,19,24,29,29,29,24
80,68,68,83,58,73,78,73,0,68,73,83,68,68,83,68,4,73,68,73,68,78,73,78,9,68,68,83,63,73,78,78,4,83,73,73,68,73,73,78,78,73,73,73,68,73,63,73,73,78,68,68,63,83,63,78,73,73,78,73,63,78,63,68,73,83,39,63,63,73,68,63,73,78,19,68,63,78,63,73,73,78,73,68,68,78,58,68,63,68,78,63,63,68,68,39,73,68,68,63,68,68,83,58,68,63,68,63,73,73,73,83,63,73,73,58,68,78,73,83,68,68,73,63,68,63,78,68,63,68,63,78,73,73,4,68,63,78,68,73,78,78,73,73,73,73,68
